Owner Login,Path,Item Name,Item Type,Collaborator Login,Collaborator Permission
AdilE@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,AmberR@M365CPI19595461.onmicrosoft.com,Editor
AdilE@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,BillieV@M365CPI19595461.onmicrosoft.com,Viewer
AdilE@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,CoraT@M365CPI19595461.onmicrosoft.com,Co-owner
AdilE@M365CPI19595461.OnMicrosoft.com,All Files/SampleFile.docx,SampleFile.docx,File,AmberR@M365CPI19595461.onmicrosoft.com,Editor
AmberR@M365CPI19595461.onmicrosoft.com,All Files/SampleFile.docx,Thunderbolt Specifications v1.0.docx,File,AdilE@M365CPI19595461.OnMicrosoft.com,Editor
AmberR@M365CPI19595461.onmicrosoft.com,All Files/This-is_A(Folder),This-is_A(Folder),Folder,AdilE@M365CPI19595461.OnMicrosoft.com,Editor
WillB@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,AmberR@M365CPI19595461.onmicrosoft.com,Editor
WillB@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,BillieV@M365CPI19595461.onmicrosoft.com,Viewer
WillB@M365CPI19595461.OnMicrosoft.com,All Files/Thesis (Mapping IPv6 Mobile Providers)/,Thesis (Mapping IPv6 Mobile Providers),Folder,CoraT@M365CPI19595461.onmicrosoft.com,Co-owner
WillB@M365CPI19595461.OnMicrosoft.com,All Files/SampleFile.docx,SampleFile.docx,File,AmberR@M365CPI19595461.onmicrosoft.com,Editor
